Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,target
4,3,1,15,0,14,116.0,14,38,37,9,6,-1.1878858025232237,1,0,0,1,0,0,-0.16073750925755798,0,0,-0.09789303720785829,7,0.10554394053510098,0.6932105610688809,0,0,-0.09393447363141155,6,0.5302712412090755,1.0421778478360482,0,11.1,0.6,2.02,0
4,2,4,10,0,14,125.0,14,4,19,2,5,-0.6175206555032958,1,0,0,1,0,0,-0.5649417100599008,0,0,-0.09789303720785829,7,0.43261925187811495,0.781008972237747,0,0,-0.09393447363141155,8,0.5302712412090755,0.9148549310694246,2,16.2,0.3,-0.92,0
4,3,1,13,0,14,120.0,14,19,37,9,9,-0.9611141175634934,1,0,0,1,0,1,-0.43020697645911987,0,0,-0.09789303720785829,7,0.43261925187811495,0.22495236816826208,0,0,-0.09393447363141155,8,0.5302712412090755,0.46126704008832753,0,13.9,-0.3,0.79,0
4,5,1,11,0,14,128.0,14,1,19,9,8,-1.8544571189200074,1,0,0,1,0,0,-0.43020697645911987,0,0,0.3130719197062708,8,0.7596945632211289,0.5088338976142622,0,0,0.8307779107401208,8,1.1985867407243596,0.8790453607288117,0,13.9,-0.3,0.79,0
4,2,1,13,0,14,120.0,14,3,3,3,3,-1.057320286940349,0,0,0,1,0,0,-0.43020697645911987,0,0,-0.09789303720785829,6,0.43261925187811495,0.7956420407658913,0,0,-0.09393447363141155,6,0.5302712412090755,0.4692247223862414,0,12.4,0.5,1.79,0
4,2,1,15,0,14,129.0,14,19,1,3,7,-0.4113645782671772,0,0,0,1,0,1,-0.16073750925755798,0,0,-0.09789303720785829,9,0.43261925187811495,0.4542037751091903,0,0,-0.09393447363141155,6,-0.1380442583062086,0.5806322745570373,0,16.2,0.3,-0.92,0
4,2,1,1,0,14,135.0,14,19,4,9,2,1.1554216087273248,1,0,1,1,0,0,-0.5649417100599008,0,0,-2.563682778692633,0,-1.529832616179969,-2.1748708704474087,0,0,-2.8680716267460085,0,-1.4746752573367767,-1.9499106961796095,0,12.7,3.7,-1.7,0
4,2,1,10,0,14,133.0,14,38,38,9,9,0.07653813785830309,1,0,0,1,1,1,-0.6996764436606817,0,0,-0.09789303720785829,6,0.43261925187811495,0.48834760167486024,0,0,-0.09393447363141155,6,0.5302712412090755,0.5328861807695534,0,13.9,-0.3,0.79,1
4,14,1,16,0,14,140.0,14,3,3,4,2,1.0111123546620404,1,0,0,1,0,0,0.5129361587463468,0,0,-0.09789303720785829,13,-0.5486066821509269,-0.02380979681019145,0,0,-0.09393447363141155,19,-1.1405175075791347,0.34190180561961775,0,12.4,0.5,1.79,1
4,2,6,11,0,14,133.0,14,38,38,9,9,0.12464122254673193,1,0,0,1,0,1,-0.6996764436606817,0,0,0.3130719197062708,11,0.43261925187811495,0.2823465147286504,0,0,0.8307779107401208,11,0.8644289909667175,0.4242979217557327,0,15.5,2.8,-4.06,0
4,2,5,1,0,14,160.0,14,1,1,4,4,0.8736749698379612,0,0,0,1,1,0,-0.6996764436606817,0,0,-2.563682778692633,0,-1.529832616179969,-2.1748708704474087,0,0,-2.8680716267460085,0,-1.4746752573367767,-1.9499106961796095,0,12.7,3.7,-1.7,1
4,2,1,7,0,14,138.0,14,1,19,4,4,0.323925430541645,1,0,0,1,1,0,-0.6996764436606817,0,0,-0.09789303720785829,6,0.43261925187811495,0.4542037751091903,0,0,-0.09393447363141155,7,0.5302712412090755,0.5874531450981065,0,15.5,2.8,-4.06,0
4,14,1,11,0,14,133.1,14,19,37,9,9,-0.48008327067921674,0,0,0,1,0,1,0.24346669154478487,0,0,0.7240368766204,8,0.7596945632211289,0.29226448339772654,0,0,0.8307779107401208,8,0.8644289909667175,0.350086850268901,0,12.7,3.7,-1.7,0
4,1,6,8,0,14,128.0,14,37,37,9,9,-0.720598694121355,1,0,0,1,0,0,-0.43020697645911987,0,0,-0.5088579941219874,8,-0.22153137080791296,0.20153945852323124,0,0,-0.5562906658171777,10,-0.47220200806385065,0.40556326400292975,0,7.6,2.6,0.32,0
3,14,1,2,0,2,133.1,14,37,34,0,0,-0.7893173865333946,0,0,0,1,0,0,2.129752961955718,0,0,-0.09789303720785829,12,-0.5486066821509269,0.4200599485435199,0,0,-0.09393447363141155,14,-1.4746752573367767,-1.9499106961796095,1,7.6,2.6,0.32,1
4,14,1,0,0,14,160.0,14,1,37,191,193,0.8942905775615739,0,0,0,1,1,0,0.5129361587463468,0,0,-0.09789303720785829,6,-1.529832616179969,-2.1748708704474087,0,0,-0.09393447363141155,6,-1.4746752573367767,-1.9499106961796095,0,11.1,0.6,2.02,0
4,16,1,0,0,16,130.0,14,1,3,9,6,0.2071036534411786,0,0,0,1,1,1,-0.2954722428583389,0,0,-0.09789303720785829,15,0.43261925187811495,0.22495236816826208,0,0,-0.09393447363141155,8,-0.1380442583062086,0.29415571183213385,0,13.9,-0.3,0.79,0
4,16,1,5,0,16,110.0,14,3,4,2,2,-1.167270194799612,1,0,0,1,1,0,-0.43020697645911987,0,0,-0.09789303720785829,15,-0.22153137080791296,0.027405943038313722,0,0,-0.09393447363141155,12,-0.8063597578214927,0.05542524289471435,0,13.9,-0.3,0.79,1
0,14,1,0,0,14,140.0,14,37,37,9,8,1.581477501681969,0,0,0,1,1,0,0.6476708923471277,0,0,-0.09789303720785829,12,0.10554394053510098,0.2834846422808396,0,0,-0.09393447363141155,10,0.5302712412090755,0.40556326400292975,0,11.1,0.6,2.02,0
3,3,3,14,1,14,123.0,14,19,37,3,3,-0.9473703790810853,0,0,1,0,0,0,-0.6996764436606817,0,0,-0.09789303720785829,9,-0.5486066821509269,0.010334029755478544,0,0,-0.09393447363141155,12,-1.4746752573367767,-1.9499106961796095,0,7.6,2.6,0.32,1
4,2,2,7,0,14,130.0,14,1,34,9,9,-0.15023354710142717,1,0,0,1,0,1,-0.43020697645911987,0,0,-0.09789303720785829,7,0.10554394053510098,0.44737500979605627,0,0,-0.09393447363141155,6,0.5302712412090755,0.40556326400292975,0,12.4,0.5,1.79,0
4,2,4,15,0,14,131.0,14,38,36,9,9,-0.2052085010310586,1,0,0,1,0,1,-0.6996764436606817,0,0,-0.09789303720785829,7,0.43261925187811495,0.14690933601815925,0,0,-0.09393447363141155,9,0.5302712412090755,0.11908670127802633,0,9.4,-0.8,-3.12,0
4,2,3,15,0,14,121.0,14,19,37,4,7,-0.6999830863977434,1,0,0,1,0,0,-0.2954722428583389,0,0,-0.09789303720785829,8,0.43261925187811495,0.14690933601815925,0,0,-0.09393447363141155,8,-0.1380442583062086,0.3896478994071017,0,11.1,0.6,2.02,0
4,3,1,11,0,14,142.0,14,37,37,5,5,0.2964379535768308,1,0,0,1,0,0,-0.5649417100599008,0,0,0.7240368766204,8,0.7596945632211289,0.843053182797079,0,0,0.8307779107401208,8,0.8644289909667175,0.8635619846005848,0,10.8,1.4,1.74,0
3,14,1,10,0,14,130.0,14,37,37,9,0,2.1312270409782856,0,0,1,0,0,0,1.4560792939518135,0,0,-0.09789303720785829,7,-0.22153137080791296,0.5907790813718706,0,0,-0.09393447363141155,6,-1.4746752573367767,-1.9499106961796095,6,12.7,3.7,-1.7,1
4,2,1,16,0,14,145.0,14,38,37,3,9,0.784340669702311,1,0,0,0,0,0,-0.6996764436606817,0,0,-0.09789303720785829,7,0.43261925187811495,0.8639296938972316,0,0,-0.09393447363141155,8,0.5302712412090755,0.4373939931945856,0,8.9,1.4,3.51,0
4,9,1,8,0,14,133.1,0,1,3,192,3,-1.8544571189200074,0,0,1,1,1,0,2.264487695556499,1,0,-0.5088579941219874,10,-1.2027573048369549,0.0786216828868189,0,0,-0.5562906658171777,10,-1.1405175075791347,-0.04006694468025346,0,11.1,0.6,2.02,0
3,14,1,16,0,14,120.0,14,19,19,1,4,0.2071036534411786,0,0,0,1,0,0,0.7824056259479086,0,0,-0.5088579941219874,8,0.10554394053510098,0.966361173594242,2,0,-0.5562906658171777,6,0.19611349145143347,0.9912486811293989,0,9.4,-0.8,-3.12,1
4,3,1,6,0,14,148.0,14,1,38,4,5,1.492143201546317,0,0,0,1,1,0,-0.6996764436606817,0,0,-0.5088579941219874,6,0.10554394053510098,1.1439090717357263,0,0,-0.5562906658171777,8,0.19611349145143347,1.1058393062193603,0,8.9,1.4,3.51,0
4,2,1,10,0,14,133.1,14,1,1,9,1,-1.6483010416838888,1,0,0,1,0,1,-0.43020697645911987,0,0,-0.09789303720785829,8,-0.22153137080791296,0.23226890243233442,0,0,-0.09393447363141155,10,0.5302712412090755,0.4692247223862414,0,10.8,1.4,1.74,0
4,4,1,7,0,14,135.0,14,1,1,3,3,0.19335991495877147,0,0,0,1,0,1,-0.6996764436606817,0,0,-0.09789303720785829,6,0.43261925187811495,0.4200599485435199,0,0,-0.09393447363141155,6,0.5302712412090755,0.31007107642796194,0,12.7,3.7,-1.7,1
4,14,1,11,0,14,137.0,14,37,37,9,9,0.9630092699736135,0,0,0,1,1,0,1.7255487611533753,0,0,0.3130719197062708,0,-1.529832616179969,-2.1748708704474087,0,0,0.8307779107401208,0,-1.4746752573367767,-1.9499106961796095,0,12.4,0.5,1.79,1
4,3,1,6,0,14,130.0,14,38,19,7,3,-0.4869551399204203,1,0,1,1,1,0,-0.43020697645911987,0,0,-0.5088579941219874,5,-1.529832616179969,-2.1748708704474087,0,0,-0.5562906658171777,5,-1.4746752573367767,-1.9499106961796095,5,9.4,-0.8,-3.12,1
4,14,1,0,0,14,130.0,14,19,19,9,1,0.8942905775615739,0,0,0,1,0,0,0.3782014251455658,0,6,2.3678967042769163,13,0.43261925187811495,0.48834760167486024,0,4,2.6802026794831852,14,2.201059989997286,0.6920398267278332,0,15.5,2.8,-4.06,0
4,5,2,10,0,14,135.0,14,3,19,1,7,-0.23956784723707836,1,0,0,1,1,0,-0.16073750925755798,0,0,-0.09789303720785829,12,-1.529832616179969,-2.1748708704474087,0,0,-0.09393447363141155,6,-1.4746752573367767,-1.9499106961796095,0,16.2,0.3,-0.92,1
0,14,1,15,0,14,120.0,14,37,37,9,8,-2.198050580980205,0,0,0,1,0,1,1.7255487611533753,0,0,-0.09789303720785829,10,0.43261925187811495,0.0786216828868189,0,0,-0.09393447363141155,14,-0.47220200806385065,0.21457888885299414,0,10.8,1.4,1.74,0
4,14,1,16,0,14,133.1,14,1,1,4,4,-0.48008327067921674,0,0,1,0,1,0,1.0518750931494705,0,0,-0.5088579941219874,13,-0.22153137080791296,0.5907790813718706,1,0,-0.5562906658171777,12,-0.47220200806385065,0.2782403472363058,1,9.4,-0.8,-3.12,1
4,2,1,1,0,14,150.0,14,38,19,9,9,0.7431094542550877,1,0,0,1,1,1,-0.5649417100599008,0,0,-2.563682778692633,0,-1.529832616179969,-2.1748708704474087,0,0,-2.8680716267460085,0,-1.4746752573367767,-1.9499106961796095,0,13.9,-0.3,0.79,0
4,6,1,14,1,4,110.0,14,19,38,9,10,-1.167270194799612,0,0,0,1,1,0,2.533957162758061,0,8,2.3678967042769163,12,2.0679958085931847,0.7863300880661636,0,7,2.217846487297419,11,1.8669022402396438,0.762067430949476,0,11.1,0.6,2.02,0
3,14,1,7,0,6,133.1,14,37,37,9,6,-1.167270194799612,0,0,0,0,0,0,4.016039232366651,0,0,-0.5088579941219874,5,-1.529832616179969,-2.1748708704474087,0,0,-1.018646858002944,5,-1.4746752573367767,-1.9499106961796095,0,15.5,2.8,-4.06,1
3,13,1,14,1,7,120.0,14,38,1,9,9,-0.48008327067921674,0,0,0,0,0,0,1.5908140275525944,0,0,-0.09789303720785829,0,-1.529832616179969,-2.1748708704474087,0,0,-0.09393447363141155,0,-1.4746752573367767,-1.9499106961796095,0,10.8,1.4,1.74,1
4,3,3,7,0,14,127.0,14,19,19,5,8,-0.48008327067921674,0,0,0,1,0,0,-0.6996764436606817,0,0,-0.09789303720785829,6,-1.529832616179969,-2.1748708704474087,0,0,-0.09393447363141155,0,-1.4746752573367767,-1.9499106961796095,0,8.9,1.4,3.51,1
4,15,1,13,0,13,140.0,14,37,37,9,10,0.6812626310842518,1,0,0,1,0,0,-0.2954722428583389,0,5,1.135001833534529,10,1.4138451859071568,0.44282249958730063,0,4,1.293134102925887,9,1.5327444904820016,0.5753271530250942,0,8.9,1.4,3.51,0
4,5,1,5,0,14,125.0,14,39,3,3,2,-0.13648980861901908,1,0,0,1,0,0,-0.2954722428583389,0,0,-0.5088579941219874,6,-1.529832616179969,-2.1748708704474087,5,0,-0.5562906658171777,6,-0.1380442583062086,0.676124462132005,1,10.8,1.4,1.74,0
4,5,1,11,0,14,148.0,14,29,38,90,3,0.27582234585321813,1,0,0,1,0,1,-0.16073750925755798,0,18,6.888511230332337,23,5.01167361068031,0.8110067627204427,3,18,7.766120793526612,23,5.208479737816065,0.8336865716307018,3,7.6,2.6,0.32,0
4,2,1,13,0,14,135.0,14,1,1,4,4,-0.28767093192550625,0,0,0,1,0,0,-0.6996764436606817,0,0,-0.09789303720785829,7,0.43261925187811495,0.6932105610688809,0,0,-0.09393447363141155,7,0.5302712412090755,0.723870555919489,0,10.8,1.4,1.74,0
4,5,1,4,0,14,141.0,14,1,19,5,10,0.0009475762050599944,0,0,0,1,0,0,-0.43020697645911987,0,0,-0.09789303720785829,6,0.10554394053510098,0.3654298260384479,0,0,-0.09393447363141155,9,0.19611349145143347,0.4182955556795921,0,12.7,3.7,-1.7,0
3,14,1,11,0,14,140.0,14,19,19,9,7,-1.1329108485935921,0,0,0,1,0,0,1.0518750931494705,0,0,0.3130719197062708,0,-1.529832616179969,-2.1748708704474087,0,0,0.8307779107401208,0,-1.4746752573367767,-1.9499106961796095,0,12.7,3.7,-1.7,1
4,5,1,4,0,14,125.0,14,38,37,8,7,0.323925430541645,1,0,0,1,1,0,-0.43020697645911987,0,3,-0.09789303720785829,6,-0.22153137080791296,0.4371318618263551,0,3,1.293134102925887,12,-0.47220200806385065,0.4692247223862414,0,12.4,0.5,1.79,1
4,3,1,8,0,14,123.0,14,1,19,3,4,-0.34264588585513767,0,0,0,1,1,0,-0.5649417100599008,0,0,-0.5088579941219874,7,-0.5486066821509269,0.3517722954121799,0,0,-0.5562906658171777,5,-1.4746752573367767,-1.9499106961796095,0,8.9,1.4,3.51,1
0,14,1,9,1,14,133.1,14,37,37,6,6,0.6331595463958228,0,0,0,1,0,0,2.129752961955718,0,0,-0.5088579941219874,6,0.10554394053510098,0.0786216828868189,0,0,-0.5562906658171777,9,0.19611349145143347,0.2782403472363058,0,10.8,1.4,1.74,0
4,2,2,16,0,14,151.0,14,40,4,2,2,1.2035246934157517,1,0,0,1,0,0,-0.6996764436606817,0,0,-0.09789303720785829,7,0.43261925187811495,1.034648826725582,0,0,-0.09393447363141155,6,0.5302712412090755,0.8830242018777688,0,8.9,1.4,3.51,0
4,16,1,0,0,16,170.0,14,19,19,9,7,2.9558513499227597,1,0,1,1,1,0,-0.2954722428583389,0,0,-0.09789303720785829,7,0.43261925187811495,0.9566057945754791,0,0,-0.09393447363141155,6,0.5302712412090755,0.9466856602610805,0,12.4,0.5,1.79,0
4,14,1,0,0,14,133.1,14,19,19,9,9,-1.8544571189200074,0,0,0,1,0,0,0.9171403595486896,0,0,-0.09789303720785829,6,-1.529832616179969,-2.1748708704474087,0,0,-0.09393447363141155,6,-1.4746752573367767,-1.9499106961796095,0,11.1,0.6,2.02,1
4,2,1,13,0,14,135.0,14,38,38,5,7,-0.4113645782671772,0,0,0,1,0,0,-0.5649417100599008,0,0,-0.09789303720785829,13,-0.5486066821509269,-0.05795362337586144,0,0,-0.09393447363141155,12,-0.47220200806385065,0.023594513703058526,0,7.6,2.6,0.32,0
4,4,1,6,0,14,122.0,14,19,1,90,3,-0.7480861710861713,1,0,1,0,1,0,0.10873195794400392,0,0,-0.5088579941219874,8,-1.529832616179969,-2.1748708704474087,0,0,-0.5562906658171777,5,-1.4746752573367767,-1.9499106961796095,0,9.4,-0.8,-3.12,1
3,13,1,4,0,11,140.0,14,37,1,9,7,0.8942905775615739,0,0,0,1,0,0,1.3213445603510323,0,0,-0.09789303720785829,7,0.43261925187811495,0.8980735204629017,0,0,-0.09393447363141155,8,-0.47220200806385065,0.15091743046968215,0,11.1,0.6,2.02,0
3,2,4,11,0,14,140.0,14,1,37,4,9,0.06966626861709953,0,0,0,1,0,1,-0.6996764436606817,0,0,0.3130719197062708,7,0.43261925187811495,0.7068680916951493,0,0,0.3684217185543546,7,0.5302712412090755,0.7366028475961517,0,7.6,2.6,0.32,0
4,2,2,16,0,14,162.0,14,37,1,9,9,2.6260016263449693,1,0,0,1,0,1,-0.6996764436606817,0,0,-0.5088579941219874,6,-0.22153137080791296,1.0517207400084172,0,0,-0.5562906658171777,5,0.19611349145143347,0.685673680889502,0,10.8,1.4,1.74,0
4,2,1,13,0,14,115.0,14,38,38,8,7,-0.9679859868046969,1,0,0,1,0,1,-0.5649417100599008,0,0,-0.09789303720785829,7,0.43261925187811495,0.25421850522455103,0,0,-0.09393447363141155,8,0.5302712412090755,0.5601696629338299,0,12.4,0.5,1.79,0
4,5,1,15,0,14,142.0,14,38,38,9,9,-0.0746429854481831,0,0,0,1,0,1,-0.5649417100599008,0,0,-0.09789303720785829,0,-1.529832616179969,-2.1748708704474087,0,0,-0.09393447363141155,11,-1.1405175075791347,-0.04006694468025346,0,10.8,1.4,1.74,1
4,3,1,13,0,14,145.0,14,38,38,5,7,0.7568531927374949,1,0,0,1,0,0,-0.43020697645911987,0,0,-0.09789303720785829,11,0.10554394053510098,0.11959427476562288,0,0,-0.09393447363141155,6,0.5302712412090755,0.34190180561961775,0,9.4,-0.8,-3.12,0
4,14,1,15,0,3,133.1,14,34,34,0,0,-1.167270194799612,1,0,0,0,0,0,0.6476708923471277,0,0,-0.5088579941219874,10,-1.529832616179969,-2.1748708704474087,0,0,-0.5562906658171777,10,-1.4746752573367767,-1.9499106961796095,0,7.6,2.6,0.32,1
4,2,4,11,0,14,126.0,14,19,19,9,9,-0.13648980861901908,1,0,0,1,0,0,-0.5649417100599008,0,0,0.3130719197062708,8,0.43261925187811495,0.21348979782121547,0,0,0.8307779107401208,11,0.5302712412090755,0.4214786285987575,0,12.4,0.5,1.79,0
4,3,1,11,0,14,127.0,14,19,38,5,9,0.17274430723515882,1,0,0,1,0,1,-0.43020697645911987,0,0,0.3130719197062708,7,0.43261925187811495,0.3517722954121799,0,0,0.3684217185543546,7,0.5302712412090755,0.40556326400292975,0,7.6,2.6,0.32,0
4,9,1,5,0,14,133.1,1,1,1,4,4,-1.8544571189200074,0,0,0,1,0,0,0.3782014251455658,1,0,-0.09789303720785829,7,-0.8756819934939409,0.2834846422808396,1,0,-0.09393447363141155,6,-1.4746752573367767,-1.9499106961796095,0,8.9,1.4,3.51,1
4,3,3,15,0,14,122.0,14,1,1,4,4,-0.026539900759756208,0,0,0,0,0,0,-0.6996764436606817,0,0,-0.5088579941219874,5,0.10554394053510098,-0.044296092749593445,0,0,-0.09393447363141155,13,-1.4746752573367767,-1.9499106961796095,0,10.8,1.4,1.74,1
0,17,1,8,0,14,110.0,14,37,37,9,9,0.08341000709950665,0,0,0,1,0,0,2.39922242915728,0,8,3.1898266181051746,24,2.0679958085931847,0.3347003821293448,3,5,1.755490295111653,12,1.8669022402396438,0.6092799308295277,0,9.4,-0.8,-3.12,0
4,3,5,11,0,14,148.0,14,1,19,4,8,0.2208473919235857,1,0,0,1,0,0,-0.5649417100599008,0,0,0.3130719197062708,0,-1.529832616179969,-2.1748708704474087,0,0,0.8307779107401208,0,-1.4746752573367767,-1.9499106961796095,0,12.4,0.5,1.79,1
4,2,2,7,0,14,130.0,14,19,19,9,9,-0.005924293036143568,1,0,0,1,1,1,-0.6996764436606817,0,0,-0.09789303720785829,6,0.43261925187811495,0.6932105610688809,0,0,-0.09393447363141155,6,0.5302712412090755,0.7557012851111449,0,9.4,-0.8,-3.12,0
4,0,3,16,0,14,143.0,14,37,37,0,90,2.2068176026315287,0,0,1,1,0,1,-0.6996764436606817,0,0,-0.5088579941219874,5,0.10554394053510098,0.7751557448264893,0,0,-0.5562906658171777,5,0.19611349145143347,0.723870555919489,0,7.6,2.6,0.32,1
4,2,1,13,0,14,136.0,14,38,38,0,7,0.4270034691597043,1,0,0,1,0,0,-0.5649417100599008,0,0,-0.09789303720785829,8,0.10554394053510098,0.0786216828868189,0,0,-0.09393447363141155,13,0.19611349145143347,0.22731118052965646,0,7.6,2.6,0.32,0
3,14,1,14,1,14,140.0,14,37,37,9,9,0.06966626861709953,0,0,0,1,0,1,2.6686918963588417,0,0,-0.09789303720785829,7,0.43261925187811495,0.3517722954121799,0,0,-0.09393447363141155,8,0.5302712412090755,0.24640961804464998,0,8.9,1.4,3.51,0
4,3,1,8,0,14,120.0,14,3,38,3,7,-0.1914647625486505,1,0,0,1,1,0,-0.6996764436606817,0,0,-0.5088579941219874,13,0.10554394053510098,0.2834846422808396,0,0,-0.5562906658171777,9,-0.1380442583062086,0.22731118052965646,0,13.9,-0.3,0.79,0
4,3,4,11,0,14,137.0,14,1,37,9,9,0.09715374558191572,1,0,0,1,0,1,-0.5649417100599008,0,0,0.3130719197062708,7,0.7596945632211289,0.5673661717268398,0,0,0.8307779107401208,8,1.1985867407243596,1.091515478083115,0,13.9,-0.3,0.79,0
4,3,1,10,0,14,124.0,14,37,19,5,8,-0.8786516866690458,1,0,1,1,0,0,-0.6996764436606817,0,0,-0.09789303720785829,6,0.10554394053510098,0.24251205040203558,0,0,-0.09393447363141155,9,-0.1380442583062086,0.6693035915909358,0,10.8,1.4,1.74,1
4,14,1,0,0,6,133.1,14,4,1,2,4,-0.48008327067921674,0,0,0,1,1,0,0.24346669154478487,0,0,-1.3307879079502456,4,-1.529832616179969,-2.1748708704474087,0,0,-1.4810030501887101,5,-1.4746752573367767,-1.9499106961796095,0,16.2,0.3,-0.92,1
4,3,6,7,0,14,126.0,14,1,19,5,5,-0.5488019630912563,1,0,0,1,0,0,-0.6996764436606817,0,0,-0.09789303720785829,0,-1.529832616179969,-2.1748708704474087,0,0,-0.09393447363141155,0,-1.4746752573367767,-1.9499106961796095,0,12.4,0.5,1.79,1
4,17,1,0,0,16,120.0,14,3,1,2,6,0.08341000709950665,1,0,0,1,1,0,0.10873195794400392,0,4,1.135001833534529,13,1.0867698745641428,0.5566352548062006,0,5,1.755490295111653,12,1.5327444904820016,0.5541066668973239,0,16.2,0.3,-0.92,0
4,3,1,7,0,14,120.0,14,19,38,9,7,-0.6243925247444994,1,0,0,1,0,1,-0.2954722428583389,0,0,-0.09789303720785829,6,0.10554394053510098,0.48834760167486024,0,0,-0.09393447363141155,7,0.5302712412090755,0.5010554515778975,0,8.9,1.4,3.51,0
4,14,1,9,1,14,133.1,14,37,37,9,9,-1.1878858025232237,0,0,0,1,0,0,0.7824056259479086,0,0,-0.5088579941219874,0,-1.529832616179969,-2.1748708704474087,0,0,-0.5562906658171777,0,-1.4746752573367767,-1.9499106961796095,0,16.2,0.3,-0.92,1
4,5,1,11,0,6,133.1,14,34,34,0,0,-1.167270194799612,1,0,0,1,1,0,0.5129361587463468,0,0,0.3130719197062708,7,-1.529832616179969,-2.1748708704474087,6,0,0.3684217185543546,7,-1.4746752573367767,-1.9499106961796095,6,7.6,2.6,0.32,1
4,2,1,16,0,14,135.0,14,19,38,9,5,0.6743907618430481,1,0,0,1,0,0,-0.6996764436606817,0,0,-0.5088579941219874,11,0.10554394053510098,0.6932105610688809,3,0,-0.5562906658171777,7,0.19611349145143347,0.26550805555964346,0,9.4,-0.8,-3.12,0
